"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Login Page","1","0","Edge - Session","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_001","0"
"0","Authentication","0","Login Page","2","1","Negative - Social Sign-In","0"
"0","OTS EdTech Dashboard","0","Quiz Performance Tracking","1","0","TC_QUIZTRACKING_004","0"
"0","Authentication","0","Login Page","3","0","Positive - Input Handling","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_001","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_014","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_010","0"
"0","Authentication","0","Login Page","6","0","Boundary - Password","0"
"0","OTS EdTech Dashboard","1","Favorite Chapters Page","0","0","TC_FAVCHAP_005","0"
"0","Authentication","1","Login Page","0","0","Positive - UI Control","0"
"0","Authentication","0","Login Page","7","0","Boundary - Email","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_008","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_010","0"
"0","Authentication","0","Login Page","1","0","Edge - Input Handling","0"
"0","OTS EdTech Explore","0","Explore Page","1","0","TC_EXPLORE_001","0"
"0","OTS EdTech Dashboard","0","Favorite Chapters Page","1","0","TC_FAVCHAP_006","0"
"0","OTS EdTech Explore","1","Explore Page","0","0","TC_EXPLORE_009","0"
"0","OTS EdTech Dashboard","0","Change Password","1","0","TC_CHGPWD_006","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_009","0"
"0","OTS EdTech Dashboard","0","Favorite Chapters Page","1","0","TC_FAVCHAP_010","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_014","0"
"0","Authentication","0","Login Page","5","0","Negative - Email Format","0"
"0","OTS EdTech Homepage","1","Home Page","0","0","TC_HOME_011","0"
"0","OTS EdTech Dashboard","0","Dashboard Page","1","0","TC_DASH_008","0"
"0","","0","","0","11","","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_002","0"
"0","OTS EdTech Dashboard","0","Enrollments Page","1","0","TC_ENROLL_003","0"
"0","OTS EdTech Homepage","0","Home Page","1","0","TC_HOME_027","0"
"0","Authentication","0","Login Page","1","0","Positive - Navigation","0"
"0","OTS EdTech","0","Sign Up Page","1","0","TC_SIGNUP_013","0"
"0","OTS EdTech Dashboard","0","My Profile Page","1","0","TC_PROFILE_016","0"
