"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21802","TC-053: Expired session redirects protected dashboard access to login","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Edge - Session","specs\loginPage.spec.js","",""
"Sign Up page loads with heading and all three form fields visible.","31267","TC_SIGNUP_001: Sign Up page loads with heading and form fields visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Sign Up Page","specs\signUp_Page.spec.js","",""
"","1980","TC-034: Unauthorized Google account is rejected","chromium","2026-08-21","skipped","2026-08-21","Login Page > P1 - Negative - Social Sign-In","specs\loginPage.spec.js","",""
"Clicking Filter by Quiz keeps page heading visible.","34689","TC_QUIZTRACKING_004: Filter by Quiz dropdown is clickable and page stays stable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Quiz Performance Tracking","specs\quizTracking_Page.spec.js","",""
"","56988","TC-020: Email is trimmed before authentication","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Positive - Input Handling","specs\loginPage.spec.js","",""
"Logged-in student reaches Profile with My Profile heading visible.","34926","TC_PROFILE_001: Authenticated student lands on Profile with My Profile heading visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"View All Skills link opens the skills catalog.","67592","TC_HOME_014: View All Skills opens full skills catalog","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Sidebar Quiz Tracking opens Quiz Performance Tracking.","25713","TC_DASH_010: Sidebar Quiz Tracking opens Quiz Performance Tracking","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Dashboard Page","specs\Dashboard.spec.js","",""
"","26939","TC-043: Password at maximum accepted length is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Boundary - Password","specs\loginPage.spec.js","",""
"Chapter card with environment-specific text is visible (brittle locator).","39061","TC_FAVCHAP_005: Chapter card element is visible for a favorited chapter","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"","51437","TC-046: Remember me checkbox toggles on and off","chromium","2026-08-21","failed","2026-08-21","Login Page > P2 - Positive - UI Control","specs\loginPage.spec.js","",""
"","53166","TC-055: Minimum valid email pattern is handled","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Boundary - Email","specs\loginPage.spec.js","",""
"Update my Profile button visible and clickable without crash.","23216","TC_PROFILE_008: Update my Profile button is visible and clickable","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"CSS fallback .chakra-checkbox__control checkbox is present.","66864","TC_PROFILE_010: Current Education checkbox is present on Educational Info tab","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"","19461","TC-060: Very long paste into fields does not break layout","chromium","2026-08-21","passed","2026-08-21","Login Page > P2 - Edge - Input Handling","specs\loginPage.spec.js","",""
"Explore hub loads with Digital School heading and Let's Start! button visible.","27012","TC_EXPLORE_001: Explore page loads with Digital School heading and Let's Start! visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"Refreshing Favorite Chapters keeps heading visible.","16494","TC_FAVCHAP_006: Soft refresh keeps Favorite Chapters chrome visible","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"Browser Back from Digital School catalog returns to a usable Explore hub with both CTAs.","30999","TC_EXPLORE_009: Browser Back from Digital School catalog returns to usable Explore hub","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Explore Page","specs\Explore-Page.spec.js","",""
"Back to Profile returns to profile dashboard without credential changes.","45002","TC_CHGPWD_006: Back to Profile button navigates away from Change Password","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Change Password","specs\changePassword.spec.js","",""
"Logo is visible; clicking it does not break the page.","47204","TC_HOME_009: Header logo is visible and click is safe","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
"Empty state heading ""No Favorite Chapters Yet"" is visible.","19228","TC_FAVCHAP_010: Empty state displays ""No Favorite Chapters Yet"" heading","chromium","2026-08-21","passed","2026-08-21","OTS EdTech Favorite Chapters Page","specs\favoriteChapters.spec.js","",""
"Direct profile access without session redirects to login.","18493","TC_PROFILE_014: Unauthenticated access does not show profile data","chromium","2026-08-21","passed","2026-08-21","OTS EdTech My Profile Page","specs\profilePage.spec.js","",""
"","38984","TC-025: Email without at-sign is rejected","chromium","2026-08-21","passed","2026-08-21","Login Page > P1 - Negative - Email Format","specs\loginPage.spec.js","",""
"Dashboard menuitem with authState=unauthenticated routes to login or dashboard.","81560","TC_HOME_011: Dashboard menuitem routes by auth state","chromium","2026-08-21","failed","2026-08-21","OTS EdTech Homepage","specs\homePage.spec.js","",""
